Key,Frequency,Percentage
LiabilitiesAndStockholdersEquity,502,100.00%
Assets,502,100.00%
NetCashProvidedByUsedInInvestingActivities,502,100.00%
NetCashProvidedByUsedInFinancingActivities,502,100.00%
NetCashProvidedByUsedInOperatingActivities,499,99.40%
EarningsPerShareDiluted,497,99.00%
AccumulatedOtherComprehensiveIncomeLossNetOfTax,497,99.00%
WeightedAverageNumberOfDilutedSharesOutstanding,497,99.00%
EarningsPerShareBasic,496,98.80%
IncomeTaxExpenseBenefit,496,98.80%
WeightedAverageNumberOfSharesOutstandingBasic,495,98.61%
StockholdersEquity,494,98.41%
NetIncomeLoss,494,98.41%
ComprehensiveIncomeNetOfTax,493,98.21%
RetainedEarningsAccumulatedDeficit,491,97.81%
CashAndCashEquivalentsAtCarryingValue,488,97.21%
OperatingLeaseLiability,487,97.01%
OperatingLeaseRightOfUseAsset,486,96.81%
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,483,96.22%
LesseeOperatingLeaseLiabilityPaymentsDue,479,95.42%
UnrecognizedTaxBenefits,477,95.02%
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,477,95.02%
CommonStockSharesAuthorized,477,95.02%
CashAndCashEquivalentsPeriodIncreaseDecrease,475,94.62%
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,474,94.42%
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,474,94.42%
LesseeOperatingLeaseLiabilityPaymentsDueYearThree,474,94.42%
LesseeOperatingLeaseLiabilityPaymentsDueYearFive,474,94.42%
PropertyPlantAndEquipmentNet,474,94.42%
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,473,94.22%
LesseeOperatingLeaseLiabilityPaymentsDueYearFour,473,94.22%
PaymentsForRepurchaseOfCommonStock,471,93.82%
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,468,93.23%
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,467,93.03%
DeferredIncomeTaxExpenseBenefit,467,93.03%
Goodwill,467,93.03%
OperatingLeasesFutureMinimumPaymentsDueInFourYears,467,93.03%
OperatingLeasesFutureMinimumPaymentsDueCurrent,465,92.63%
OperatingLeaseWeightedAverageDiscountRatePercent,465,92.63%
OperatingLeasesFutureMinimumPaymentsDueThereafter,464,92.43%
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,464,92.43%
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,464,92.43%
CommonStockParOrStatedValuePerShare,463,92.23%
DeferredTaxAssetsValuationAllowance,461,91.83%
DeferredTaxLiabilities,460,91.63%
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,458,91.24%
CurrentFederalTaxExpenseBenefit,455,90.64%
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,454,90.44%
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,454,90.44%
OtherComprehensiveIncomeLossNetOfTax,453,90.24%
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,451,89.84%
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,450,89.64%
EffectiveIncomeTaxRateContinuingOperations,449,89.44%
CommonStockSharesIssued,447,89.04%
CommonStockValue,446,88.84%
InterestPaidNet,446,88.84%
OperatingLeasePayments,445,88.65%
DeferredFederalIncomeTaxExpenseBenefit,443,88.25%
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,439,87.45%
DeferredTaxAssetsNet,438,87.25%
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,437,87.05%
DeferredTaxAssetsLiabilitiesNet,436,86.85%
ShareBasedCompensation,436,86.85%
AmortizationOfIntangibleAssets,434,86.45%
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,434,86.45%
CurrentStateAndLocalTaxExpenseBenefit,433,86.25%
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,433,86.25%
PropertyPlantAndEquipmentGross,431,85.86%
DeferredTaxAssetsOther,430,85.66%
PaymentsToAcquireBusinessesNetOfCashAcquired,427,85.06%
LongTermDebt,427,85.06%
DeferredIncomeTaxLiabilities,426,84.86%
InterestExpense,424,84.46%
AssetsCurrent,423,84.26%
LiabilitiesCurrent,423,84.26%
OperatingLeasesFutureMinimumPaymentsDue,422,84.06%
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,422,84.06%
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,422,84.06%
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,422,84.06%
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,421,83.86%
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,420,83.67%
OtherAssetsNoncurrent,420,83.67%
FiniteLivedIntangibleAssetsAccumulatedAmortization,420,83.67%
OperatingLeaseCost,419,83.47%
LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,419,83.47%
OperatingIncomeLoss,418,83.27%
DeferredTaxAssetsGross,417,83.07%
DeferredTaxLiabilitiesOther,417,83.07%
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,416,82.87%
DeferredStateAndLocalIncomeTaxExpenseBenefit,413,82.27%
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,413,82.27%
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,412,82.07%
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,412,82.07%
OperatingLeaseLiabilityNoncurrent,410,81.67%
Revenues,408,81.27%
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,408,81.27%
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,408,81.27%
OtherLiabilitiesNoncurrent,407,81.08%
OperatingLeaseLiabilityCurrent,405,80.68%
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,404,80.48%
AllocatedShareBasedCompensationExpense,404,80.48%
PaymentsForProceedsFromOtherInvestingActivities,404,80.48%
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,403,80.28%
ProfitLoss,402,80.08%
CurrentIncomeTaxExpenseBenefit,401,79.88%
ProceedsFromPaymentsForOtherFinancingActivities,399,79.48%
PaymentsToAcquirePropertyPlantAndEquipment,397,79.08%
CommonStockSharesOutstanding,397,79.08%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,397,79.08%
PreferredStockSharesAuthorized,396,78.88%
GoodwillAcquiredDuringPeriod,394,78.49%
CurrentForeignTaxExpenseBenefit,393,78.29%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,385,76.69%
StockIssuedDuringPeriodSharesStockOptionsExercised,384,76.49%
IntangibleAssetsNetExcludingGoodwill,383,76.29%
DeferredForeignIncomeTaxExpenseBenefit,382,76.10%
FiniteLivedIntangibleAssetsNet,382,76.10%
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,381,75.90%
CommonStockDividendsPerShareDeclared,376,74.90%
ProceedsFromIssuanceOfLongTermDebt,376,74.90%
GoodwillImpairmentLoss,373,74.30%
IncomeTaxesPaidNet,373,74.30%
FiniteLivedIntangibleAssetsGross,370,73.71%
OtherNonoperatingIncomeExpense,369,73.51%
Liabilities,368,73.31%
RepaymentsOfLongTermDebt,368,73.31%
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,367,73.11%
AccountsPayableCurrent,366,72.91%
DeferredTaxLiabilitiesPropertyPlantAndEquipment,366,72.91%
DepreciationDepletionAndAmortization,359,71.51%
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,357,71.12%
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,355,70.72%
MinorityInterest,354,70.52%
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,353,70.32%
DeferredIncomeTaxLiabilitiesNet,353,70.32%
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,353,70.32%
Depreciation,352,70.12%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,351,69.92%
LongTermDebtNoncurrent,351,69.92%
DeferredTaxLiabilitiesNoncurrent,350,69.72%
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,350,69.72%
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,349,69.52%
RevenueFromContractWithCustomerExcludingAssessedTax,348,69.32%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,348,69.32%
AllowanceForDoubtfulAccountsReceivableCurrent,348,69.32%
NumberOfReportableSegments,346,68.92%
DefinedContributionPlanCostRecognized,345,68.73%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,342,68.13%
EffectOfExchangeRateOnCashAndCashEquivalents,341,67.93%
NetIncomeLossAttributableToNoncontrollingInterest,341,67.93%
AccountsReceivableNetCurrent,341,67.93%
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,337,67.13%
LeaseCost,336,66.93%
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,336,66.93%
TreasuryStockValue,331,65.94%
PreferredStockParOrStatedValuePerShare,329,65.54%
LongTermDebtCurrent,329,65.54%
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,327,65.14%
InventoryNet,325,64.74%
DeferredTaxAssetsOperatingLossCarryforwards,324,64.54%
LeaseAndRentalExpense,323,64.34%
